0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:50 +0630] "GET /Fitfinity/img/depEmer.svg HTTP/1.1" 200 751018
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:50 +0630] "GET /Fitfinity/carousel.js HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:50 +0630] "GET /Fitfinity/img/depBone.svg HTTP/1.1" 200 287111
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:50 +0630] "GET /Fitfinity/img/facebook.png HTTP/1.1" 200 16055
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:50 +0630] "GET /Fitfinity/img/instagram.png HTTP/1.1" 200 42247
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:50 +0630] "GET /Fitfinity/img/depBrain.svg HTTP/1.1" 200 528634
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:50 +0630] "GET /Fitfinity/img/twitter.png HTTP/1.1" 200 13575
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:50 +0630] "GET /Fitfinity/img/depOG.svg HTTP/1.1" 200 251199
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:50 +0630] "GET /Fitfinity/img/youtube.png HTTP/1.1" 200 13626
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:50 +0630] "GET /Fitfinity/img/pinterest.png HTTP/1.1" 200 17129
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:50 +0630] "GET /Fitfinity/img/mainDr2.svg HTTP/1.1" 200 6802918
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:50 +0630] "GET /Fitfinity/img/footerBg.svg HTTP/1.1" 200 5073
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:51 +0630] "GET /Fitfinity/img/mainDr3.svg HTTP/1.1" 200 11334199
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:52 +0630] "GET /Fitfinity/img/mainDr4.svg HTTP/1.1" 200 12234049
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:58 +0630] "GET /Fitfinity/doctors.jsp HTTP/1.1" 200 5893
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:58 +0630] "GET /Fitfinity/node_modules/animate.css/animate.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:58 +0630] "GET /Fitfinity/DepartmentServlet HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:40:01 +0630] "GET /Fitfinity/DoctorServlet?deptid=D-1 HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:42:07 +0630] "GET /Fitfinity/DrSchedule.jsp HTTP/1.1" 200 9516
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:42:20 +0630] "POST /Fitfinity/AddDoctorSchedule HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:42:20 +0630] "GET /Fitfinity/DrSchedule.jsp?success=true HTTP/1.1" 200 9516
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:53:15 +0630] "POST /Fitfinity/AddDoctorSchedule HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:53:15 +0630] "GET /Fitfinity/DrSchedule.jsp?success=true HTTP/1.1" 200 9516
