127.0.0.1 - - [15/Feb/2024:11:04:28 +0630] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /Fitfinity/main.jsp HTTP/1.1" 200 16445
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /Fitfinity/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /Fitfinity/node_modules/animate.css/animate.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /Fitfinity/img/MainLogosvg.svg HTTP/1.1" 200 3215
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /Fitfinity/node_modules/bootstrap/dist/css/bootstrap.css HTTP/1.1" 200 280813
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /Fitfinity/node_modules/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 232948
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /Fitfinity/node_modules/bootstrap/dist/js/bootstrap.bundle.js HTTP/1.1" 200 207731
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /Fitfinity/img/depHeart.svg HTTP/1.1" 200 1481332
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /img/depSkin.svg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /img/depEmer.svg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /img/depEar.svg HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /carousel.js HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /img/depBone.svg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /img/depBrain.svg HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /img/depOG.svg HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /Fitfinity/img/facebook.png HTTP/1.1" 200 16055
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /Fitfinity/img/instagram.png HTTP/1.1" 200 42247
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /Fitfinity/img/youtube.png HTTP/1.1" 200 13626
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /Fitfinity/img/twitter.png HTTP/1.1" 200 13575
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /Fitfinity/img/pinterest.png HTTP/1.1" 200 17129
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:04:50 +0630] "GET /Fitfinity/img/logo.svg HTTP/1.1" 200 3215
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:12 +0630] "GET /Fitfinity/ HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:13 +0630] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:26 +0630] "GET /Fitfinity/main.jsp HTTP/1.1" 200 16445
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:26 +0630] "GET /Fitfinity/style.css HTTP/1.1" 200 7262
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:26 +0630] "GET /Fitfinity/node_modules/animate.css/animate.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:26 +0630] "GET /img/depSkin.svg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:26 +0630] "GET /img/depEar.svg HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:26 +0630] "GET /carousel.js HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:26 +0630] "GET /img/depEmer.svg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:26 +0630] "GET /img/depBone.svg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:26 +0630] "GET /img/depOG.svg HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:26 +0630] "GET /img/depBrain.svg HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:26 +0630] "GET /Fitfinity/img/mainDr2.svg HTTP/1.1" 200 6802918
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:26 +0630] "GET /Fitfinity/img/footerBg.svg HTTP/1.1" 200 5073
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:27 +0630] "GET /Fitfinity/img/mainDr3.svg HTTP/1.1" 200 11334199
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:29 +0630] "GET /Fitfinity/img/mainDr4.svg HTTP/1.1" 200 12234049
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:31 +0630] "GET /Fitfinity/img/mainDr7.svg HTTP/1.1" 200 8727696
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:05:34 +0630] "GET /Fitfinity/img/mainDr8.svg HTTP/1.1" 200 14841260
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:07 +0630] "GET /Fitfinity/main.jsp HTTP/1.1" 200 16446
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:07 +0630] "GET /Fitfinity/node_modules/animate.css/animate.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:07 +0630] "GET /img/depSkin.svg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:07 +0630] "GET /img/depEar.svg HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:07 +0630] "GET /img/depEmer.svg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:07 +0630] "GET /Fitfinity/carousel.js HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:09 +0630] "GET /img/depBone.svg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:09 +0630] "GET /img/depBrain.svg HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:09 +0630] "GET /img/depOG.svg HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:09 +0630] "GET /img/depSkin.svg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:09 +0630] "GET /img/depEar.svg HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:47 +0630] "GET /Fitfinity/main.jsp HTTP/1.1" 200 16451
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:48 +0630] "GET /Fitfinity/img/depSkin.svg HTTP/1.1" 200 335930
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:48 +0630] "GET /Fitfinity/node_modules/animate.css/animate.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:48 +0630] "GET /Fitfinity/img/depEar.svg HTTP/1.1" 200 382754
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:48 +0630] "GET /img/depEmer.svg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:48 +0630] "GET /Fitfinity/img/depOG.svg HTTP/1.1" 200 251199
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:48 +0630] "GET /Fitfinity/img/depBrain.svg HTTP/1.1" 200 528634
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:07:48 +0630] "GET /Fitfinity/img/depBone.svg HTTP/1.1" 200 287111
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:09:40 +0630] "GET /Fitfinity/main.jsp HTTP/1.1" 200 16452
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:09:40 +0630] "GET /Fitfinity/node_modules/animate.css/animate.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:09:40 +0630] "GET /Fitfinity/img/depEmer.svg HTTP/1.1" 200 751018
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:09:49 +0630] "GET /Fitfinity/main.jsp HTTP/1.1" 200 16452
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:09:49 +0630] "GET /Fitfinity/node_modules/animate.css/animate.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:15:42 +0630] "GET /Fitfinity/register.jsp HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:15:42 +0630] "GET /Fitfinity/JS/NRC.js HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [15/Feb/2024:11:15:45 +0630] "GET /Fitfinity/image/logo.png HTTP/1.1" 404 783
